 

stn;time;gre000d0;p06stads;tre200d0;rre150d0;ure200d0;sre000d0;fkl010d0
ABO;20140101;66;865.2;0.5;0.0;65.0;286;1.2
ABO;20140102;27;857.6;1.0;3.7;71.5;59;2.2
ABO;20140103;44;862.2;3.1;2.2;61.6;54;2.1
ABO;20140104;19;862.0;1.8;7.1;91.7;0;1.1
ABO;20140105;67;858.1;-1.1;0.0;80.2;262;1.6
ABO;20140106;54;865.4;3.6;0.0;60.3;223;1.1
ABO;20140107;67;868.8;4.7;0.0;66.6;324;0.9
ABO;20140108;74;872.9;5.9;0.0;66.3;279;1.0
ABO;20140109;63;868.7;9.6;0.4;41.1;172;4.2
ABO;20140110;39;868.3;4.0;0.0;78.2;63;2.1
ABO;20140111;76;866.9;5.1;0.0;66.3;258;1.1
ABO;20140112;81;871.3;3.4;0.0;55.5;339;1.0
ABO;20140113;37;866.7;1.4;7.2;71.0;0;0.9
ABO;20140114;26;856.0;-1.2;10.0;96.4;0;0.9
ABO;20140115;53;861.5;-1.7;0.0;85.8;64;1.1
ABO;20140116;44;857.6;1.7;9.6;87.5;0;1.0
ABO;20140117;62;855.8;-0.7;0.0;92.9;115;0.8
ABO;20140118;33;853.8;1.4;0.0;65.8;0;1.6
ABO;20140119;87;848.8;2.9;0.0;62.7;261;1.4
ABO;20140120;22;850.8;0.0;8.6;88.8;0;0.9
ABO;20140121;35;859.3;-2.2;4.4;97.9;0;1.1
ABO;20140122;90;859.1;-3.5;0.0;85.8;350;0.7
ABO;20140123;38;862.9;-1.0;7.6;76.4;4;2.0
ABO;20140124;41;862.6;-5.2;4.6;89.0;36;1.9
ABO;20140125;86;864.0;-4.3;2.3;72.9;222;1.7
ABO;20140126;40;864.6;0.3;4.3;68.6;0;3.8
ABO;20140127;75;851.7;-1.4;0.9;68.1;169;3.3
ABO;20140128;102;850.9;-6.5;0.0;59.8;359;1.0
ABO;20140129;66;846.5;-3.6;0.0;50.3;60;1.2
ABO;20140130;54;853.7;-2.3;0.0;56.6;0;1.2
ABO;20140131;96;855.6;-1.2;0.0;55.1;272;1.8
ABO;20140201;86;854.9;0.2;10.1;60.5;199;1.6
ABO;20140202;30;858.5;-2.2;1.8;99.1;0;1.4
ABO;20140203;116;858.8;-1.5;0.7;89.2;366;1.6
ABO;20140204;50;859.6;-0.9;0.6;91.0;0;1.2
ABO;20140205;34;852.6;1.5;0.8;58.5;0;5.0
ABO;20140206;96;860.9;1.1;0.0;52.7;235;1.8
ABO;20140207;24;852.4;1.3;5.2;73.2;0;2.1
ABO;20140208;50;854.4;0.0;2.9;64.1;0;2.1
ABO;20140209;77;852.2;-1.0;0.4;57.4;153;4.1
ABO;20140210;73;844.8;3.3;3.7;45.3;25;6.1
ABO;20140211;132;858.4;-1.9;0.1;83.4;384;1.0
ABO;20140212;133;860.6;0.6;1.1;49.4;393;2.3
ABO;20140213;25;856.1;2.4;12.9;68.3;0;5.3
ABO;20140214;44;860.1;0.6;0.0;75.7;0;1.7
ABO;20140215;121;856.2;4.0;7.2;70.8;191;1.6
ABO;20140216;45;864.1;-1.0;8.7;94.8;0;0.9
ABO;20140217;148;862.5;-1.6;0.0;84.2;432;1.0
ABO;20140218;124;865.0;1.7;0.0;52.6;300;0.9
ABO;20140219;53;864.2;0.4;1.5;85.7;0;1.0
ABO;20140220;153;865.3;0.6;0.1;65.7;440;1.0
ABO;20140221;43;859.9;0.2;2.0;88.2;0;1.3
ABO;20140222;129;864.7;-0.8;8.6;71.0;280;1.9
ABO;20140223;160;870.1;-0.8;0.0;75.7;445;0.9
ABO;20140224;166;866.0;0.7;0.0;47.2;446;1.0
ABO;20140225;152;865.2;1.0;0.0;57.6;404;1.2
