Abbr;Measurement height [m. a. sea level];More information [m. a. ground];Coordinates (CH);Latitude/Longitude;Canton
TAE;540;2.00 m;2710515 / 1259820;47.479853 / 8.904878;TG
COM;577;2.00 m;2714987 / 1146446;46.459472 / 8.935511;TI
ABO;1324;2.00 m;2609371 / 1148943;46.491733 / 7.560692;BE
AIG;383;2.00 m;2560400 / 1130713;46.326642 / 6.924414;VD
ALT;440;2.00 m;2690174 / 1193561;46.887042 / 8.621806;UR
ARH;400;2.00 m;2760383 / 1261386;47.483669 / 9.566803;SG
AND;989;2.00 m;2752688 / 1164035;46.610114 / 9.431925;GR
ANT;1440;2.00 m;2687443 / 1165038;46.630858 / 8.580525;UR
ARO;1880;2.00 m;2771031 / 1184826;46.792619 / 9.679014;GR
RAG;498;2.00 m;2756908 / 1209345;47.016578 / 9.502553;SG
BAN;1097;155.00 m;2606850 / 1202975;46.977806 / 7.528667;BE
BAS;318;2.00 m;2610911 / 1265604;47.541067 / 7.583556;BL
LAT;1410;2.00 m;2777274 / 1166618;46.627275 / 9.753706;GR
BER;555;2.00 m;2601929 / 1204409;46.990742 / 7.463997;BE
BEZ;328;2.00 m;2659809 / 1267694;47.557231 / 8.233269;AG
BIA;280;2.00 m;2718550 / 1132799;46.336117 / 8.9784;TI
BIN;1481;2.00 m;2657996 / 1135421;46.367661 / 8.192306;VS
BIZ;509;2.00 m;2737721 / 1263610;47.508797 / 9.266892;TG
BIV;1858;2.00 m;2771280 / 1148114;46.462453 / 9.668608;GR
BIE;686;2.00 m;2515886 / 1153209;46.524894 / 6.342372;VD
BLA;1540;2.00 m;2629566 / 1141075;46.420369 / 7.823219;VS
BOL;822;2.00 m;2595831 / 1163587;46.623519 / 7.384206;BE
BOU;377;3.00 m;2555264 / 1138175;46.393447 / 6.857006;VS
BUS;389;2.00 m;2648390 / 1248365;47.384339 / 8.079461;AG
BUF;1973;2.00 m;2816494 / 1170255;46.648408 / 10.2672;GR
FRE;1207;2.00 m;2534220 / 1188081;46.840619 / 6.576306;VD
CEV;421;3.90 m;2689688 / 1130564;46.320486 / 8.603161;TI
CHZ;445;2.00 m;2677759 / 1226878;47.188278 / 8.464642;ZG
CHA;1596;2.00 m;2570843 / 1220155;47.131736 / 7.054331;BE
CHM;1138;2.00 m;2565060 / 1211007;47.049169 / 6.978825;NE
CHU;558;2.00 m;2759472 / 1193156;46.870397 / 9.530583;GR
CHD;1031;2.00 m;2577040 / 1147649;46.479764 / 7.13965;VD
CIM;1663;2.00 m;2704430 / 1117453;46.200431 / 8.791597;TI
CDM;1414;2.00 m;2573821 / 1137857;46.391561 / 7.098292;VD
GSB;2479;8.60 m;2579193 / 1079732;45.868892 / 7.170714;VS
COY;697;2.00 m;2573621 / 1225604;47.180861 / 7.090633;BE
CMA;2482;2.00 m;2732821 / 1189380;46.842292 / 9.179997;GR
CRM;433;2.00 m;2571160 / 1210801;47.047606 / 7.059111;NE
DAV;1596;2.00 m;2783514 / 1187457;46.812956 / 9.843492;GR
